,product_name,product_rating,product_price,ingredients
0,Oily Skin Cleanser,4.3,"['Rp 255.168', 'Rp 191.376']",['']
1,Apricot Jam Face Scrub,4.3,"['Rp 255.168', 'Rp 191.376']","['Komposisi :\nAqua, Cetyl Alcohol, Steryl alcohol, Glyceryl stearate, Polyethylene, Apricot (Prunus armeniaca) Seed Powder, Lanolin Anhydrous, Isopropyl Myristate, Lanolin Alcohol, Sodium Laureth Sulfate, Olive (Olea Europaea) Oil, Fragrance, Phenoxyethanol, Methylparaben, Propylparaben, Tocopheryl Acetate, Ethylhexylglycerin.']"
2,Renew You Night Cream,4.5,"['Rp 114.000', 'Rp 96.900']","['Komposisi :\nAqua, Cetyl Alcohol, Steryl alcohol, Glyceryl stearate, Polyethylene, Apricot (Prunus armeniaca) Seed Powder, Lanolin Anhydrous, Isopropyl Myristate, Lanolin Alcohol, Sodium Laureth Sulfate, Olive (Olea Europaea) Oil, Fragrance, Phenoxyethanol, Methylparaben, Propylparaben, Tocopheryl Acetate, Ethylhexylglycerin.']"
3,R̻ve de Miel Face and Body Ultra-Rich Cleansing Gel,4.3,"['Rp 560.000', 'Rp 464.800']",['']
4,AHA 7 Whitehead Power Liquid,4.3,"['Rp 275.000', 'Rp 206.250']",['']
5,Sakura Night Cream,4.4,"['Rp 275.000', 'Rp 206.250']",['']
6,Light Complete Night Yoghurt,4.4,"['Rp 33.000 - Rp 92.500', 'Rp 33.000 - Rp 83.250']",['']
7,Garnier Light Complete White Speed Serum Cream Extra SPF 19/PA+++,4.3,"['Rp 83.000', 'Rp 74.700']",['']
8,Teatree Essential Mask,4.6,"['Rp 29.900', 'Rp 22.425']","['Water, tea tree leaf oil, tea tree extract, willow bark extract, centella asiatica extract, hottuynia cordata extract, soybean seed extract, pea extract, sage extract, lavender extract, matricaria extract, rosemary extract, cymbopogon schoenanthus extract, boswellia serrata resin extract, glycerin, propanediol, 1,2 hexanediol, xanthan gum, butylene glycol, panthenol, trehalose, betaine, carbomer, allantoin, polysorbate 80, arginine, disodium EDTA, dipotassium glycyrrhizate, tocopheryl acetate']"
9,Salicylic Acid Daily Gentle Cleanser,4.6,"['Rp 155.000', 'Rp 116.250']",['']
10,Daily Protection For Acne Skin,4.2,"['Rp 87.000', 'Rp 65.250']","['Komposisi:\nAqua, Propylene Glycol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, PEG-20 Stearate, Stearic Acid, Glyceryl Stearate, PEG-100 Stearate, Cetyl Alcohol, Ethylthexyl Palmitate, Polysorbate 80, Sulfur, Titanium Dioxide, Propylparaben, BHT, Imidazolidinyl Urea, dan Aminomethyl Propanol.']"
11,Daily Protection Gel For Acne Skin,4.2,"['Rp 87.000', 'Rp 65.250']",['']
12,Vita Essential Mask,4.7,"['Rp 29.900', 'Rp 14.950 - Rp 22.425']","['Water, Glycerin, Dipropylene Glycol, Niacinamide, 1,2-Hexanediol, Diethoxyethyl Succinate, Citrus Unshiu Peel Extract, Hippophae Rhamnoides Extract, Arginine, Panthenol, Carbomer, Trehalose, Betaine, Propanediol, Polyglyceryl-10 Laurate, Xanthan Gum, Allantoin, Tocopherol, Sodium Polyacrylate, Butylene Glycol, Ethylhexylglycerin, Caprylyl Glycol, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Disodium EDTA, Tremella Fuciformis Polysaccharide, Glycine, Paeonia Suffruticosa Root Extract, Glutamic Acid, Aspartic Acid, Biotin, Silica, Sodium Chloride, Hinokitiol, Histidine, Serine, Proline Threonine, Alanine Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Magnesium Chloride, Calcium Chloride, F..', 'SEE MORE']"
13,Rich Moist Foaming Cleanser,4.6,"['Rp 29.900', 'Rp 14.950 - Rp 22.425']","['Water, Sodium Lauroyl Sarcosinate, Glycerin, Propylen Glycol, Lauric Acid, Caprylic/Capric Triglyceride, Sodium, Hyaluronate, Dimethyl Sulfone, Potassium Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Betaine, Stearic Acid, Chamaecyparis Obtusa Water, Ananas Sativus(Pineapple) Fruit Extract, Chlorphenesin, Melaleuca, Alternifolia (Tea Tree) Leaf Oil, Illicium Verum (Anise) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Allantoin, Panthenol, Citric Acid, Pyridoxine, Linum Usitatissimum (Linseed) Seed Extract, Hibiscus Esculentus, Fruit Extract, Aloe Barbadensis L..', 'SEE MORE']"
14,Midnight Blue Activating Youth Drop,4.5,"['Rp 430.000', 'Rp 365.500']",['']
15,Rich Moist Soothing Serum,4.5,"['Rp 430.000', 'Rp 365.500']","['Aqua (Water), Sodium Hyaluronate, Butylene Glycol, Dimethyl Sulfone,\nBetaine, Natto Gum, Propanediol, Polyquaternium-51, Disodium EDTA, Centella\nAsiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Carbomer,\nArginine, PEG-60 Hydrogenated Castor Oil, Lysine HCL, Proline, Sodium\nAscorbyl Phosphate, Acetyl Methionine, Theanine, Chlorphenesin, Tocopheryl\nAcetate, Illicium Verum(Anise) Fruit Extract, Citrus Paradisi(Grapefruit)\nFruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root\nExtract, Scutellaria Baicalensis Root Extract, Panthenol, Luffa Cylindrica\nFruit/Leaf/Stem Extract, Beta-Glucan, Althaea Rosea Flower Extract, Aloe\nBarbadens..', 'SEE MORE']"
