,product_brand,product_name,product_price,availabel_sizes,prod_url,prod_pict
0,Adidas,Adidas HOOPS 3.0 LOW Men's Sneakers Shoes - Black,Rp 1.100.000,"['UK 8', 'UK 8.5', 'UK 9', 'UK 9.5']",https://www.sportsstation.id/pdp/Adidas-HOOPS-3.0-LOW-Men's-Sneakers-Shoes-Black/SP220706831460,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/972970c59fab43af694ec2e9e2a8064b/helix/01-ADIDAS-FFSSEADI5-ADIGY5432-Black.jpg?x-oss-process=image/format,webp"
1,Adidas,Adidas HOOPS 3.0 LOW Men's Sneakers Shoes - White,Rp 1.100.000,['UK 9'],https://www.sportsstation.id/pdp/Adidas-HOOPS-3.0-LOW-Men's-Sneakers-Shoes-White/SP220706831468,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/ada52f55d0e0885047b210b66b42d65e/helix/01-ADIDAS-FFSSEADI5-ADIGY5434-White.jpg?x-oss-process=image/format,webp"
2,Adidas,Adidas ADVANTAGE Men's Sneaker Shoes - White,Rp 950.000,"['UK 7.5', 'UK 8', 'UK 8.5', 'UK 9', 'UK 9.5', 'UK 10']",https://www.sportsstation.id/pdp/Adidas-ADVANTAGE-Men's-Sneaker-Shoes-White/SP220706831489,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/d3d23902fa1125f16a8fba468628e18e/helix/01-ADIDAS-FFSSEADI5-ADIGZ5300-White.jpg?x-oss-process=image/format,webp"
3,Skechers,Skechers GO RUN ELEVATE Men's Running Shoes - White,Rp 959.000,"['US 7.5', 'US 8', 'US 8.5', 'US 9', 'US 9.5', 'US 10.5', 'US 11.5']",https://www.sportsstation.id/pdp/Skechers-GO-RUN-ELEVATE-Men's-Running-Shoes-White/SP220713837701,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/fb76f900611436169ee1ffbe0093b6bd/helix/01-SKECHERS-F34RUSKE0-SKE220182WBK-White.jpg?x-oss-process=image/format,webp"
4,Puma,Puma Flyer Men's Running Shoes - Black,Rp 799.000,"['EUR 40.5', 'EUR 41', 'EUR 42', 'EUR 42.5', 'EUR 43', 'EUR 44']",https://www.sportsstation.id/pdp/Puma-Flyer-Men's-Running-Shoes-Black/SP220714839407,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/596e8ec1c5eb8761386664ea28cef04f/mono-brands/01-PUMA-F34RUPMA0-PMA192257-23-Black.jpg?x-oss-process=image/format,webp"
5,Puma,Puma Flyer Runner Men's Running Shoes - Black,Rp 799.000,"['EU 40.5', 'EU 41', 'EU 42', 'EU 42.5', 'EU 43', 'EU 44']",https://www.sportsstation.id/pdp/Puma-Flyer-Runner-Men's-Running-Shoes-Black/SP220719843851,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/9dcb5c0e066999cbf5e9f45e578b5860/helix/01-PUMA-F34RUPMA0-PMA192257-02-Black.jpg?x-oss-process=image/format,webp"
6,Skechers,SKECHERS GAMBIX MEN'S SANDALS SHOES - BLACK,Rp 399.000,"['US 7', 'US 8', 'US 9', 'US 10', 'US 11', 'US 12']",https://www.sportsstation.id/pdp/SKECHERS-GAMBIX-MEN'S-SANDALS-SHOES-BLACK/SP220729852404,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/f9d63397ec4865ec01ef20c2a2d93019/mono-brands/01-SKECHERS-FFSSDSKE0-Skechers-Gambix-Men-s-Sandals---Black-SKE51808BBK-Black555.jpg?x-oss-process=image/format,webp"
7,Skechers,SKECHERS GAMBIX MEN'S SANDALS SHOES - NAVY,Rp 399.000,"['US 7', 'US 8', 'US 9', 'US 10', 'US 11', 'US 12']",https://www.sportsstation.id/pdp/SKECHERS-GAMBIX-MEN'S-SANDALS-SHOES-NAVY/SP220729852406,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/93f0448056554e6ef5b1b7b6a972cea5/mono-brands/01-SKECHERS-FFSSDSKE0-Skechers-Gambix-Mens-Sandals-Navy.jpg?x-oss-process=image/format,webp"
8,Skechers,SKECHERS TRACK MEN'S FITNESS SHOES - BLACK,Rp 799.000,"['US 7.5', 'US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/SKECHERS-TRACK-MEN'S-FITNESS-SHOES-BLACK/SP220729852613,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/d80bceea8df128a8aeab565dfa0a21df/helix/01-SKECHERS-F34FISKE0-SKE232398BBK-Black.jpg?x-oss-process=image/format,webp"
9,Adidas,Adidas Ultimashow Men Running Shoes - Black,Rp 800.000,"['UK 8', 'UK 8.5', 'UK 9', 'UK 10', 'UK 10.5']",https://www.sportsstation.id/pdp/Adidas-Ultimashow-Men-Running-Shoes-Black/SP220810874213,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/afd8519b365c09faf43c110ad872c2d2/helix/01-ADIDAS-F34RUADI5-ADIFX3632-Black.jpg?x-oss-process=image/format,webp"
10,Skechers,SKECHERS GO WALK FLEX MEN'S WALKING SHOES - BLACK,Rp 515.400,"['US 8.5', 'US 10.5', 'US 11.5']",https://www.sportsstation.id/pdp/SKECHERS-GO-WALK-FLEX-MEN'S-WALKING-SHOES-BLACK/SP220831925886,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/4221b478b94d5f8873f66d2080d8a276/helix/01-SKECHERS-F34WKSKE0-SKE216484BBK-Black.jpg?x-oss-process=image/format,webp"
11,Skechers,Skechers Bounder 2.0 Men's Fitness Shoes - Black,Rp 999.000,"['US 7.5', 'US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/Skechers-Bounder-2.0-Men's-Fitness-Shoes-Black/SP220930949399,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/95e144824b85db0e172f8d003522f82d/helix/01-SKECHERS-F34FISKEA-SKE232673BBK-Black.jpg?x-oss-process=image/format,webp"
12,Skechers,SKECHERS ULTRA FLEX 3.0 MEN'S SNEAKERS SHOES - BLACK,Rp 1.099.000,"['US 8', 'US 9', 'US 10', 'US 11', 'US 11.5']",https://www.sportsstation.id/pdp/SKECHERS-ULTRA-FLEX-3.0-MEN'S-SNEAKERS-SHOES-BLACK/SP221002950370,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/cb6c8745a095bb05ae48a2c536f4256e/helix/01-SKECHERS-F34FISKE0-SKE232314BBK-Black.jpg?x-oss-process=image/format,webp"
13,Skechers,SKECHERS STAMINA SANDAL MEN'S Sandals Shoes - BLACK,Rp 599.000,"['US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/SKECHERS-STAMINA-SANDAL-MEN'S-Sandals-Shoes-BLACK/SP221002950473,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/948f67d3a59f73edc2e7d10a9c96072b/helix/01-SKECHERS-FFSSDSKE0-SKE237396BKG-Black.jpg?x-oss-process=image/format,webp"
14,Skechers,SKECHERS DELSON 3.0 MEN'S Sneakers Shoes - BROWN,Rp 1.099.000,"['US 7.5', 'US 8', 'US 9', 'US 10', 'US 10.5', 'US 11.5', 'US 12']",https://www.sportsstation.id/pdp/SKECHERS-DELSON-3.0-MEN'S-Sneakers-Shoes-BROWN/SP221002950479,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/b7124890487cf4a825388ac73022deb5/helix/01-SKECHERS-FFSSBSKE0-SKE210238BRT-Brown.jpg?x-oss-process=image/format,webp"
15,Skechers,SKECHERS GO WALK 6 MEN'S WALKING SHOES - NAVY,Rp 649.500,"['US 8.5', 'US 9.5']",https://www.sportsstation.id/pdp/SKECHERS-GO-WALK-6-MEN'S-WALKING-SHOES-NAVY/SP221002950604,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/70d8e5be5182e0bad14589a1a468dafe/helix/01-SKECHERS-F34WKSKE0-SKE216267NVY-Blue.jpg?x-oss-process=image/format,webp"
16,Skechers,SKECHERS D'LITES 4.0 MEN'S FITNESS SHOES - BLACK,Rp 909.300,['US 11.5'],https://www.sportsstation.id/pdp/SKECHERS-D'LITES-4.0-MEN'S-FITNESS-SHOES-BLACK/SP221002950632,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/68788f1c901633fd3172e3bac2e076bb/helix/01-SKECHERS-F34FISKE0-SKE894098BKW-Black.jpg?x-oss-process=image/format,webp"
17,Reebok,Reebok Lite Plus 3 Men Running Shoes - Black,Rp 399.500,"['US 8.5', 'US 9', 'US 10.5']",https://www.sportsstation.id/pdp/Reebok-Lite-Plus-3-Men-Running-Shoes-Black/SP221003951298,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/0736e9f4ef03ce04c9c8d70bd0923b29/helix/01-REEBOK-F34RUREEA-REE1-GY3963-Black.jpg?x-oss-process=image/format,webp"
18,Diadora,Diadora RAPTOR LOW Men's Running Shoes - White,Rp 799.000,"['EUR 40', 'EUR 41', 'EUR 42', 'EUR 43', 'EUR 44']",https://www.sportsstation.id/pdp/Diadora-RAPTOR-LOW-Men's-Running-Shoes-White/SP221007957368,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/658fc593d60824ffb39f33cea1f0f320/helix/01-DIADORA-FFSSBDIA0-DIA177704657-White.jpg?x-oss-process=image/format,webp"
19,Skechers,SKECHERS BOUNDER MEN'S FITNESS SHOES - BLACK,Rp 859.000,"['US 7.5', 'US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/SKECHERS-BOUNDER-MEN'S-FITNESS-SHOES-BLACK/SP221007957543,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/d9994319c9d046e2794a65f746cf4f08/helix/01-SKECHERS-F34FISKE0-SKE232281BBK-Black.jpg?x-oss-process=image/format,webp"
20,Skechers,Skechers GOwalk Max - Rejoice Men's Walking Shoes - Black,Rp 559.300,"['US 8.5', 'US 9', 'US 9.5', 'US 10.5']",https://www.sportsstation.id/pdp/Skechers-GOwalk-Max-Rejoice-Men's-Walking-Shoes-Black/SP221007957632,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/155d37062aa6639c46b2240e5dcb31e4/helix/01-SKECHERS-F34WKSKE0-SKE54635BBK-Black.jpg?x-oss-process=image/format,webp"
21,Puma,Puma Puma Smash v2 L Men's Sneaker Shoes - White,Rp 699.000,"['EUR 40', 'EUR 40.5', 'EUR 41', 'EUR 42', 'EUR 42.5', 'EUR 43', 'EUR 44']",https://www.sportsstation.id/pdp/Puma-Puma-Smash-v2-L-Men's-Sneaker-Shoes-White/SP221012961563,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/a67752c129a67d53bbf0dc73c45b1f1b/helix/01-PUMA-FFSSEPMA0-PMA365215-01-White.jpg?x-oss-process=image/format,webp"
22,Diadora,Diadora Frederic Men's Running Shoes - Black,Rp 299.400,['EU 42'],https://www.sportsstation.id/pdp/Diadora-Frederic-Men's-Running-Shoes-Black/SP221024973448,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/44c8c2fda87faf7355b5fc868dc8c35c/helix/01-DIADORA-FR1U1DIA0-DIAX22F1016B-Black.jpg?x-oss-process=image/format,webp"
23,Diadora,Diadora Frederic Men's Running Shoes - Navy,Rp 299.400,"['EU 41', 'EU 42', 'EU 43']",https://www.sportsstation.id/pdp/Diadora-Frederic-Men's-Running-Shoes-Navy/SP221024973452,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/e12034e038039fc891ed0fff41a00412/helix/01-DIADORA-FR1U1DIA0-DIAX22F1017N-Blue.jpg?x-oss-process=image/format,webp"
24,Diadora,Diadora Farley Men's Basektball Shoes - Black,Rp 379.500,"['EU 40', 'EU 41', 'EU 43']",https://www.sportsstation.id/pdp/Diadora-Farley-Men's-Basketball-Shoes-Black/SP221024973457,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/9c180fb7650dfd561ff4542612cf4f7f/helix/01-DIADORA-F34KBDIA0-DIAKB221229C-Black.jpg?x-oss-process=image/format,webp"
25,Skechers,SKECHERS GO WALK ARCH FIT SANDAL MEN'S Sandals SHOES - BLACK,Rp 599.400,"['US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/SKECHERS-GO-WALK-ARCH-FIT-SANDAL-MEN'S-Sandals-SHOES-BLACK/SP221027976344,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/bb98b5a3c83e148ddae91edb2e7d8cd9/helix/01-SKECHERS-FFSSDSKE0-SKE229021BKN-Black.jpg?x-oss-process=image/format,webp"
26,Skechers,SKECHERS ARCH FIT ORCEN MEN'S Sneakers SHOES - BROWN,Rp 1.099.000,"['US 8', 'US 9', 'US 10', 'US 10.5', 'US 11.5', 'US 12']",https://www.sportsstation.id/pdp/SKECHERS-ARCH-FIT-ORCEN-MEN'S-Sneakers-SHOES-BROWN/SP221027976346,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/1ca8e8ff9e60682a75ccccafc49b4991/helix/01-SKECHERS-FFSSBSKE0-SKE210431BRN-Brown.jpg?x-oss-process=image/format,webp"
27,Diadora,Dia Eagle 5 SL Men's Running Shoes - Black,Rp 799.000,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44']",https://www.sportsstation.id/pdp/Dia-Eagle-5-SL-Men's-Running-Shoes-Black/SP221103982948,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/14cb64a34ad7643c5f1dedf71dc80392/helix/01-DIADORA-F34RUDIA0-DIA178070200-Blackrev.jpg?x-oss-process=image/format,webp"
28,Diadora,Diadora Fast Men Basketball Shoes - Black,Rp 379.500,"['EU 40', 'EU 41', 'EU 42', 'EU 43']",https://www.sportsstation.id/pdp/Diadora-Fast-Men-Basketball-Shoes-Black/SP221108986120,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/761bc642137c7c99cb3eae5f31d3fbcb/helix/01-DIADORA-F34KBDIA0-DIAKB221033B-Black.jpg?x-oss-process=image/format,webp"
29,Diadora,Diadora Finnley Men's Running Shoes - Navy,Rp 229.500,['EU 44'],https://www.sportsstation.id/pdp/Diadora-Finnley-Men's-Running-Shoes-Navy/SP221111988032,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/0aa20fb1393ecf5bf4ecaa24def09332/helix/01-DIADORA-F34RUDIA0-DIAX22F1202N-Blue.jpg?x-oss-process=image/format,webp"
30,Diadora,Diadora Torneo Men's Lifestyle Shoes - White,Rp 575.400,"['EU 40', 'EU 42']",https://www.sportsstation.id/pdp/Diadora-Torneo-Men's-Lifestyle-Shoes-White/SP221128010508,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/b1da205b271ec94916bbe842bf0a09d0/helix/01-DIADORA-FFSSBDIA0-DIA178327880-White.jpg?x-oss-process=image/format,webp"
31,Skechers,SKECHERS GO RUN ELEVATE MEN'S RUNNING SHOES - BLACK,Rp 999.000,"['US 7.5', 'US 8', 'US 8.5', 'US 9', 'US 9.5', 'US 10.5']",https://www.sportsstation.id/pdp/SKECHERS-GO-RUN-ELEVATE-MEN'S-RUNNING-SHOES-BLACK/SP221202013393,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/2a602b10f2ecaaffa75f0fbe2501281d/helix/01-SKECHERS-F34RUSKE0-SKE220329BBK-Black.jpg?x-oss-process=image/format,webp"
32,Skechers,SKECHERS SKECH-LITE PRO MEN'S FITNESS SHOES - BLACK,Rp 859.000,"['US 7.5', 'US 8', 'US 9', 'US 10', 'US 11']",https://www.sportsstation.id/pdp/SKECHERS-SKECH-LITE-PRO-MEN'S-FITNESS-SHOES-BLACK/SP221202013578,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/1689beaaacfe4a8d855ecb46003780a8/helix/01-SKECHERS-F34FISKE0-SKE232591BBK-Black.jpg?x-oss-process=image/format,webp"
33,Puma,Puma Accent Men's Running Shoes - Black,Rp 419.300,"['EUR 40.5', 'EUR 41', 'EUR 42', 'EUR 42.5', 'EUR 43', 'EUR 44']",https://www.sportsstation.id/pdp/Puma-Accent-Men's-Running-Shoes-Black/SP221205013928,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/b79ba795f3658b906e3b67fb4e1b2e0c/helix/01-PUMA-F34RUPMA0-PMA195515-02-Black.jpg?x-oss-process=image/format,webp"
34,Puma,Puma Accent Men's Running Shoes - Blue,Rp 419.300,"['EUR 40.5', 'EUR 41', 'EUR 42', 'EUR 42.5', 'EUR 43', 'EUR 44']",https://www.sportsstation.id/pdp/Puma-Accent-Men's-Running-Shoes-Blue/SP221205013930,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/9ef3542354c19bc660aab3bce682022e/helix/01-PUMA-F34RUPMA0-PMA195515-07-Blue.jpg?x-oss-process=image/format,webp"
35,Diadora,Diadora Flame Men's Tennis Shoes - Black,Rp 659.000,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44']",https://www.sportsstation.id/pdp/Diadora-Flame-Men's-Tennis-Shoes-Black/SP221208077181,"https://bb-scm-prod-pim.oss-ap-southeast-5.aliyuncs.com/products/32f7fb29558f862d6ba5e6e170052c68/helix/01-DIADORA-F34TEDIAA-DIATE221031B-Black.jpg?x-oss-process=image/format,webp"
